	items.a	items.b	items.g	items.u	means	F
coffee	2.54057958898583	0.910487107124005	0	1	0	1
coke	2.6432896362266	3.48058824337413	0	1	0	1
cold	2.79098295729301	1.08954450633192	0	1	0	1
comb	3.00497608580968	1.29247365977486	0	1	0	1
cook	3.11056262927836	0.876037934300988	0	1	0	1
cookie	2.6432896362266	3.48058824337413	0	1	0	1
corn	2.6432896362266	3.48058824337413	0	1	0	1
couch	3.09942176143254	0.876495135022839	0	1	0	1
country	2.43682787973901	1.74818578183667	0	1	0	1
cover	2.7995109799603	1.64584074169713	0	1	0	1
cow	1.63774968313874	2.17812722719524	0	1	0	1
cowboy	2.6432896362266	3.48058824337413	0	1	0	1
cracker	2.6432896362266	3.48058824337413	0	1	0	1
crayon	2.6432896362266	3.48058824337413	0	1	0	1
crib	2.26417410268105	1.81118458990771	0	1	0	1
cry	2.67478227270662	1.33940338175115	0	1	0	1
cup	1.96163158737299	0.98858312095752	0	1	0	1
cut	2.50919257518494	1.12157673414574	0	1	0	1
cute	2.49907438444679	1.12293685428583	0	1	0	1
daddy	2.26417410268105	1.81118458990771	0	1	0	1
dance	1.92889830390035	1.53354208174996	0	1	0	1
dark	2.93726213910502	0.358128427492571	0	1	0	1
day	3.47620306987711	-0.496960961722018	0	1	0	1
deer	1.63774968313874	2.17812722719524	0	1	0	1
diaper	2.51530495797151	1.36830410330135	0	1	0	1
did	2.33949873750253	0.0200552973271397	0	1	0	1
dinner	2.93689773072675	1.0765791461508	0	1	0	1
dirty	2.6432896362266	3.48058824337413	0	1	0	1
dish	2.6432896362266	3.48058824337413	0	1	0	1
doctor	2.6432896362266	3.48058824337413	0	1	0	1
dog	2.48227540803112	0.365982675455703	0	1	0	1
doll	2.6432896362266	3.48058824337413	0	1	0	1
donkey	2.6432896362266	3.48058824337413	0	1	0	1
donut	2.6432896362266	3.48058824337413	0	1	0	1
door	2.43005413750963	-0.153674667730642	0	1	0	1
down	3.14607245278617	-0.157654013461032	0	1	0	1
downtown	2.6432896362266	3.48058824337413	0	1	0	1
draw	1.63774968313874	2.17812722719524	0	1	0	1
drawer	2.6432896362266	3.48058824337413	0	1	0	1
dress	2.22718684510867	1.16670144393053	0	1	0	1
drive	2.54057958898583	0.910487107124005	0	1	0	1
drop	2.7995109799603	1.64584074169713	0	1	0	1
dryer	2.6432896362266	3.48058824337413	0	1	0	1
duck	2.6432896362266	3.48058824337413	0	1	0	1
dump	2.6432896362266	3.48058824337413	0	1	0	1
each	3.31956129131506	-0.328262715951053	0	1	0	1
ear	1.95741937656286	0.989437774339614	0	1	0	1
eat	1.63157907965741	-0.132200437553559	0	1	0	1
egg	1.9728013409818	1.22458325253801	0	1	0	1
elephant	2.52167085691324	1.36705482886966	0	1	0	1
empty	2.63657704564021	1.10578941278476	0	1	0	1
every	2.60769211942741	0.0164958505785831	0	1	0	1
eye	2.05739476602875	0.970600129079279	0	1	0	1
face	2.58153850488907	0.539442391513738	0	1	0	1
fall	3.28771487729251	-0.158109390736287	0	1	0	1
farm	2.4362461054273	1.74838004145204	0	1	0	1
fast	3.18908829760412	0.356414659658285	0	1	0	1
feed	2.28967185401639	0.936467740708757	0	1	0	1
find	2.56968214029647	-0.325410397915332	0	1	0	1
fine	2.52722907005995	1.36597097185886	0	1	0	1
finger	2.57846902954329	0.539547468985367	0	1	0	1
finish	3.32126046424489	0.696439135779664	0	1	0	1
fireman	2.6432896362266	3.48058824337413	0	1	0	1
firetruck	2.6432896362266	3.48058824337413	0	1	0	1
first	2.9414127143821	0.530706603798092	0	1	0	1
fit	2.89959354473545	0.705928962165301	0	1	0	1
fix	2.17664687797618	0.951604972108323	0	1	0	1
flag	2.6432896362266	3.48058824337413	0	1	0	1
flower	2.6432896362266	3.48058824337413	0	1	0	1
food	2.28492374687982	0.937054520886652	0	1	0	1
foot	2.21914106567199	1.16824303373159	0	1	0	1
for.	2.72268454256435	-1.00406082116865	0	1	0	1
fork	2.21351899582505	1.43893644547761	0	1	0	1
friend	2.80001111341937	0.186906111428148	0	1	0	1
frog	1.63774968313874	2.17812722719524	0	1	0	1
full	2.21935973899572	-0.151286321733634	0	1	0	1
game	3.34665022667518	0.526612000663781	0	1	0	1
garage	2.17664687797618	0.951604972108323	0	1	0	1
garbage	3.01179871451869	1.29165208633586	0	1	0	1
garden	1.93423323720092	1.53143138783181	0	1	0	1
gentle	2.67478227270662	1.33940338175115	0	1	0	1
get	2.74636186202126	-1.18661530896182	0	1	0	1
giraffe	2.6432896362266	3.48058824337413	0	1	0	1
girl	2.68320887149406	-0.155541448060844	0	1	0	1
give	3.47620306987711	-0.496960961722018	0	1	0	1
glass	2.53346925047288	1.36476183615602	0	1	0	1
glasses	2.6432896362266	3.48058824337413	0	1	0	1
gloves	2.6432896362266	3.48058824337413	0	1	0	1
glue	2.6432896362266	3.48058824337413	0	1	0	1
go	3.3016824676591	-1.36733145751243	0	1	0	1
good	3.03882141692456	-0.495097493949947	0	1	0	1
goose	2.6432896362266	3.48058824337413	0	1	0	1
grandma	2.26417410268105	1.81118458990771	0	1	0	1
grandpa	2.26417410268105	1.81118458990771	0	1	0	1
grapes	2.6432896362266	3.48058824337413	0	1	0	1
grass	2.6432896362266	3.48058824337413	0	1	0	1
green	2.40212750530673	0.730241939300303	0	1	0	1
grrr	2.6432896362266	3.48058824337413	0	1	0	1
gum	1.63774968313874	2.17812722719524	0	1	0	1
hair	2.57509647395343	0.53966364022348	0	1	0	1
hamburger	2.6432896362266	3.48058824337413	0	1	0	1
hammer	1.92889830390035	1.53354208174996	0	1	0	1
hand	2.1750283115373	0.0235040192329097	0	1	0	1
happy	3.22475132860812	0.0129017056171277	0	1	0	1
hard	3.41684660273026	0.183886647086981	0	1	0	1
hat	3.00497608580968	1.29247365977486	0	1	0	1
hate	1.7364443458509	0.610818431151737	0	1	0	1
have	2.67880510006026	-1.00555568083641	0	1	0	1
he	2.67880510006026	-1.00555568083641	0	1	0	1
head	2.86684655597728	0.014483925121323	0	1	0	1
hear	3.28771487729251	-0.158109390736287	0	1	0	1
heavy	2.67424417160488	1.33949306548801	0	1	0	1
helicopter	2.6432896362266	3.48058824337413	0	1	0	1
hello	0.907968508704081	2.05129325862165	0	1	0	1
help	3.45824147059803	-0.32885087769209	0	1	0	1
hen	2.7995109799603	1.64584074169713	0	1	0	1
her	2.66057696937932	-1.00617862691804	0	1	0	1
here	2.93701949419897	0.358130744065017	0	1	0	1
hers	2.7995109799603	1.64584074169713	0	1	0	1
hi	1.85716093232357	1.25862461937599	0	1	0	1
hide	2.67424417160488	1.33949306548801	0	1	0	1
high	2.4362461054273	1.74838004145204	0	1	0	1
him	3.42048091153006	-0.158473325147637	0	1	0	1
his	2.80267129454013	-0.829369875117624	0	1	0	1
hit	2.46977396055633	0.191412654322677	0	1	0	1
hold	2.57899728613951	0.189544732141469	0	1	0	1
home	2.8048409586902	0.35963204610375	0	1	0	1
horse	1.75837926368467	1.03724587671816	0	1	0	1
hose	2.6432896362266	3.48058824337413	0	1	0	1
hot	2.02527323166326	0.0279742320834907	0	1	0	1
house	3.35587945539708	0.0125204321634024	0	1	0	1
how	2.85545963826664	-0.326415603777479	0	1	0	1
hug	2.26028806786253	0.021560431425018	0	1	0	1
hungry	3.01164968613131	1.29166997709998	0	1	0	1
hurry	2.49907438444679	1.12293685428583	0	1	0	1
hurt	2.29858838573464	0.738295878005303	0	1	0	1
ice	3.42048091153006	-0.158473325147637	0	1	0	1
inside	3.20726692853745	0.527536488672605	0	1	0	1
into	3.05547521498165	-1.17360740852075	0	1	0	1
it	2.66320255626464	-0.83224130046984	0	1	0	1
jacket	2.6432896362266	3.48058824337413	0	1	0	1
jar	2.6432896362266	3.48058824337413	0	1	0	1
jeans	3.09942176143254	0.876495135022839	0	1	0	1
jello	2.6432896362266	3.48058824337413	0	1	0	1
jelly	2.6432896362266	3.48058824337413	0	1	0	1
juice	2.50346647523515	1.12234439541416	0	1	0	1
jump	1.7364443458509	0.610818431151737	0	1	0	1
keys	2.6432896362266	3.48058824337413	0	1	0	1
kick	2.52167085691324	1.36705482886966	0	1	0	1
kiss	2.92807067996834	0.358217222096447	0	1	0	1
kitchen	2.6956169930259	0.361291293754787	0	1	0	1
kitty	2.6432896362266	3.48058824337413	0	1	0	1
knee	2.79219841838713	1.64758640558314	0	1	0	1
knife	2.81038486422386	0.890965455268729	0	1	0	1
knock	2.16382103581199	0.561208283902554	0	1	0	1
ladder	2.26417410268105	1.81118458990771	0	1	0	1
lady	1.85716093232357	1.25862461937599	0	1	0	1
lamb	2.6432896362266	3.48058824337413	0	1	0	1
lamp	2.6432896362266	3.48058824337413	0	1	0	1
last	3.03882141692456	-0.495097493949947	0	1	0	1
later	2.79219841838713	1.64758640558314	0	1	0	1
leg	2.67492493738606	1.33937961274876	0	1	0	1
lick	1.1303473485827	2.81236953882373	0	1	0	1
light	2.94683852326887	0.883458840721844	0	1	0	1
like	2.66133148668351	-0.494835986711301	0	1	0	1
lion	2.6432896362266	3.48058824337413	0	1	0	1
lips	2.94315079596193	1.07606854964913	0	1	0	1
listen	1.20184694979955	0.549339479118691	0	1	0	1
little	2.89912359168299	-0.156669733072029	0	1	0	1
lollipop	2.6432896362266	3.48058824337413	0	1	0	1
long	3.06013192938813	-0.495152135061272	0	1	0	1
look	2.08297175870628	-0.49630192178042	0	1	0	1
loud	2.81072768003489	0.890944863624507	0	1	0	1
love	2.54355108582522	0.0171755616411864	0	1	0	1
lunch	2.90963628941164	0.705614201275074	0	1	0	1
mad	2.05748922199107	0.570060685715722	0	1	0	1
mailman	2.6432896362266	3.48058824337413	0	1	0	1
make	2.55585104768405	-0.834618671159657	0	1	0	1
man	1.96963521542537	0.208860612603336	0	1	0	1
me	2.72268454256435	-1.00406082116865	0	1	0	1
meat	2.29858838573464	0.738295878005303	0	1	0	1
medicine	2.6432896362266	3.48058824337413	0	1	0	1
melon	2.6432896362266	3.48058824337413	0	1	0	1
meow	2.6432896362266	3.48058824337413	0	1	0	1
milk	1.93423323720092	1.53143138783181	0	1	0	1
mine	2.50346647523515	1.12234439541416	0	1	0	1
mittens	2.6432896362266	3.48058824337413	0	1	0	1
mommy	2.6432896362266	3.48058824337413	0	1	0	1
money	3.06187087476384	0.357120728691355	0	1	0	1
monkey	2.6432896362266	3.48058824337413	0	1	0	1
moo	2.6432896362266	3.48058824337413	0	1	0	1
moon	2.22718684510867	1.16670144393053	0	1	0	1
moose	2.6432896362266	3.48058824337413	0	1	0	1
mop	2.6432896362266	3.48058824337413	0	1	0	1
more	2.79921197639538	-0.156185919666785	0	1	0	1
morning	2.9100241425259	-0.49485618095102	0	1	0	1
motorcycle	2.79219841838713	1.64758640558314	0	1	0	1
mouse	2.6432896362266	3.48058824337413	0	1	0	1
mouth	3.45824147059803	-0.32885087769209	0	1	0	1
movie	2.52167085691324	1.36705482886966	0	1	0	1
much	2.98644773703116	-0.826010628092915	0	1	0	1
muffin	2.6432896362266	3.48058824337413	0	1	0	1
my	2.57415698686775	-0.663962769535819	0	1	0	1
myself	3.24963999812251	0.870840507239836	0	1	0	1
nail	1.63774968313874	2.17812722719524	0	1	0	1
nap	2.40212750530673	0.730241939300303	0	1	0	1
napkin	2.6432896362266	3.48058824337413	0	1	0	1
naughty	2.6432896362266	3.48058824337413	0	1	0	1
necklace	2.6432896362266	3.48058824337413	0	1	0	1
new	2.49984734814061	-0.325161426408377	0	1	0	1
nice	3.35587945539708	0.0125204321634024	0	1	0	1
night	3.31956129131506	-0.328262715951053	0	1	0	1
no	1.20864915153866	2.67999565854327	0	1	0	1
noisy	2.6432896362266	3.48058824337413	0	1	0	1
none	3.1093082528088	0.0133097170013763	0	1	0	1
noodles	2.6432896362266	3.48058824337413	0	1	0	1
nose	3.00497608580968	1.29247365977486	0	1	0	1
not	2.74905062298099	-0.662322792316724	0	1	0	1
now	2.103559974603	1.19231671627967	0	1	0	1
nurse	2.6432896362266	3.48058824337413	0	1	0	1
nuts	2.26417410268105	1.81118458990771	0	1	0	1
of	2.74378768097371	-1.38625786025618	0	1	0	1
off	2.6851158640762	0.188114917255832	0	1	0	1
old	2.98318558581968	0.0138570233881163	0	1	0	1
on	2.74636186202126	-1.18661530896182	0	1	0	1
open	1.67359021976272	1.06296791967627	0	1	0	1
other	2.67880510006026	-1.00555568083641	0	1	0	1
ouch	2.6432896362266	3.48058824337413	0	1	0	1
our	2.78921929268862	-0.494772776158541	0	1	0	1
out	2.74636186202126	-1.18661530896182	0	1	0	1
outside	2.93741250595307	1.07653697938277	0	1	0	1
oven	2.78489601896912	1.09013231273414	0	1	0	1
over	3.02614396792081	0.185282343083788	0	1	0	1
owl	2.6432896362266	3.48058824337413	0	1	0	1
paint	3.01179871451869	1.29165208633586	0	1	0	1
pajamas	2.6432896362266	3.48058824337413	0	1	0	1
pancake	2.6432896362266	3.48058824337413	0	1	0	1
pants	3.26008924737554	1.05415422983593	0	1	0	1
paper	2.22179817617919	1.43665319081663	0	1	0	1
park	2.42108408188568	0.921718830516045	0	1	0	1
party	3.24963999812251	0.870840507239836	0	1	0	1
pattycake	2.6432896362266	3.48058824337413	0	1	0	1
peas	2.6432896362266	3.48058824337413	0	1	0	1
peekaboo	2.6432896362266	3.48058824337413	0	1	0	1
pen	2.68078049239108	1.33840703741108	0	1	0	1
pencil	2.6432896362266	3.48058824337413	0	1	0	1
penguin	2.6432896362266	3.48058824337413	0	1	0	1
penis	1.63774968313874	2.17812722719524	0	1	0	1
penny	2.6432896362266	3.48058824337413	0	1	0	1
people	1.45942077874073	0.264348072255303	0	1	0	1
person	2.51696360133963	-0.154406024134772	0	1	0	1
pick	2.72823839483167	-0.3259614591653	0	1	0	1
pickle	2.6432896362266	3.48058824337413	0	1	0	1
picnic	2.7995109799603	1.64584074169713	0	1	0	1
picture	2.17269593536679	0.952181192562438	0	1	0	1
pig	2.6432896362266	3.48058824337413	0	1	0	1
pillow	2.78489601896912	1.09013231273414	0	1	0	1
pizza	2.6432896362266	3.48058824337413	0	1	0	1
plant	2.6432896362266	3.48058824337413	0	1	0	1
plate	2.6432896362266	3.48058824337413	0	1	0	1
play	3.18908829760412	0.356414659658285	0	1	0	1
playground	2.6432896362266	3.48058824337413	0	1	0	1
please	2.79219841838713	1.64758640558314	0	1	0	1
police	2.8048409586902	0.35963204610375	0	1	0	1
pony	2.43682787973901	1.74818578183667	0	1	0	1
pool	2.46199918675465	0.544030434815629	0	1	0	1
poor	2.6432896362266	3.48058824337413	0	1	0	1
popcorn	2.6432896362266	3.48058824337413	0	1	0	1
popsicle	2.6432896362266	3.48058824337413	0	1	0	1
porch	2.40481095767175	0.923398994479484	0	1	0	1
potato	2.79235804616665	1.64754817827306	0	1	0	1
potty	2.6432896362266	3.48058824337413	0	1	0	1
pour	2.82122094347887	0.89031906766078	0	1	0	1
present	2.6432896362266	3.48058824337413	0	1	0	1
pretend	2.6432896362266	3.48058824337413	0	1	0	1
pretty	2.90523427227963	0.186044812904026	0	1	0	1
pretzel	2.6432896362266	3.48058824337413	0	1	0	1
pudding	2.6432896362266	3.48058824337413	0	1	0	1
pull	2.01821820010269	0.387452776313322	0	1	0	1
pumpkin	2.6432896362266	3.48058824337413	0	1	0	1
puppy	2.6432896362266	3.48058824337413	0	1	0	1
purse	2.4362461054273	1.74838004145204	0	1	0	1
push	1.98982281823974	1.22003848803389	0	1	0	1
put	3.42048091153006	-0.158473325147637	0	1	0	1
puzzle	2.4362461054273	1.74838004145204	0	1	0	1
quiet	2.52722907005995	1.36597097185886	0	1	0	1
radio	2.08221389336536	1.47839050396559	0	1	0	1
rain	2.54057958898583	0.910487107124005	0	1	0	1
raisin	2.6432896362266	3.48058824337413	0	1	0	1
read	3.1093082528088	0.0133097170013763	0	1	0	1
red	2.48333827572438	0.365953513300645	0	1	0	1
refrigerator	2.7995109799603	1.64584074169713	0	1	0	1
ride	2.90586304959809	0.186040267508801	0	1	0	1
rip	1.63774968313874	2.17812722719524	0	1	0	1
rock	2.43682787973901	1.74818578183667	0	1	0	1
roof	2.30608694465689	0.737665430133823	0	1	0	1
room	2.44689117048758	0.191864074381261	0	1	0	1
rooster	2.26417410268105	1.81118458990771	0	1	0	1
run	2.93672654024422	0.530782846357449	0	1	0	1
sad	3.01179871451869	1.29165208633586	0	1	0	1
salt	1.97721219083262	1.22339490789618	0	1	0	1
same	2.83662760550104	-0.661667726464352	0	1	0	1
sandbox	2.6432896362266	3.48058824337413	0	1	0	1
sandwich	2.6432896362266	3.48058824337413	0	1	0	1
sauce	3.26008924737554	1.05415422983593	0	1	0	1
say	2.58710169803026	-0.154921359588674	0	1	0	1
scared	1.89779187115331	0.587201407386221	0	1	0	1
scarf	2.67424417160488	1.33949306548801	0	1	0	1
school	3.18745161866977	0.69873072867236	0	1	0	1
scissors	2.6432896362266	3.48058824337413	0	1	0	1
see	2.7855271941737	-0.326163528333049	0	1	0	1
shake	1.8742932720299	0.214962626174124	0	1	0	1
share	2.28748012491316	0.739244265714338	0	1	0	1
she	1.88211257640206	-0.672517429530158	0	1	0	1
sheep	2.6432896362266	3.48058824337413	0	1	0	1
shush	2.6432896362266	3.48058824337413	0	1	0	1
shirt	2.17269593536679	0.952181192562438	0	1	0	1
shoe	2.6432896362266	3.48058824337413	0	1	0	1
shopping	3.01179871451869	1.29165208633586	0	1	0	1
shorts	2.67492493738606	1.33937961274876	0	1	0	1
shoulder	3.06187087476384	0.357120728691355	0	1	0	1
shovel	2.6432896362266	3.48058824337413	0	1	0	1
show	3.23607714180345	0.0128656428889344	0	1	0	1
shower	2.76800948555926	0.710576142148404	0	1	0	1
sick	2.29017813584987	0.936405410240075	0	1	0	1
sidewalk	2.26417410268105	1.81118458990771	0	1	0	1
sing	2.81520362565472	0.890676858637716	0	1	0	1
sink	2.78489601896912	1.09013231273414	0	1	0	1
sister	2.6595365707275	0.715239630051012	0	1	0	1
sit	3.41684660273026	0.183886647086981	0	1	0	1
skate	2.6432896362266	3.48058824337413	0	1	0	1
sky	2.69716361764666	0.361264750766923	0	1	0	1
sled	2.6432896362266	3.48058824337413	0	1	0	1
sleep	2.92807067996834	0.358217222096447	0	1	0	1
sleepy	2.6432896362266	3.48058824337413	0	1	0	1
slipper	2.6432896362266	3.48058824337413	0	1	0	1
slow	2.63657704564021	1.10578941278476	0	1	0	1
smile	1.9728013409818	1.22458325253801	0	1	0	1
snack	2.6432896362266	3.48058824337413	0	1	0	1
sneaker	2.6432896362266	3.48058824337413	0	1	0	1
snow	2.6432896362266	3.48058824337413	0	1	0	1
snowman	2.6432896362266	3.48058824337413	0	1	0	1
snowsuit	2.6432896362266	3.48058824337413	0	1	0	1
soap	2.6432896362266	3.48058824337413	0	1	0	1
sock	2.6432896362266	3.48058824337413	0	1	0	1
soda	1.63774968313874	2.17812722719524	0	1	0	1
sofa	3.26008924737554	1.05415422983593	0	1	0	1
soft	1.92877933675667	1.53358932163131	0	1	0	1
some	2.45694977764922	-0.836915413146732	0	1	0	1
soup	2.6432896362266	3.48058824337413	0	1	0	1
spaghetti	2.6432896362266	3.48058824337413	0	1	0	1
spill	1.63774968313874	2.17812722719524	0	1	0	1
splash	2.6432896362266	3.48058824337413	0	1	0	1
spoon	2.6432896362266	3.48058824337413	0	1	0	1
sprinkler	2.6432896362266	3.48058824337413	0	1	0	1
squirrel	2.6432896362266	3.48058824337413	0	1	0	1
stairs	3.22475132860812	0.0129017056171277	0	1	0	1
stand	2.90951762860381	0.705617889640145	0	1	0	1
star	2.6432896362266	3.48058824337413	0	1	0	1
stay	3.19082248970559	-0.495574057226877	0	1	0	1
stick	2.43682787973901	1.74818578183667	0	1	0	1
sticky	2.6432896362266	3.48058824337413	0	1	0	1
stone	3.00497608580968	1.29247365977486	0	1	0	1
stop	2.38471730266244	0.368958747231093	0	1	0	1
store	2.29367524700249	0.935976107241022	0	1	0	1
story	3.05973316965326	0.529032988370528	0	1	0	1
stove	3.17626974236776	0.698948496045532	0	1	0	1
strawberry	2.26417410268105	1.81118458990771	0	1	0	1
street	2.94683852326887	0.883458840721844	0	1	0	1
stroller	2.6432896362266	3.48058824337413	0	1	0	1
stuck	0.97001580127685	1.23560802560475	0	1	0	1
sun	2.79004825936811	0.186998928671574	0	1	0	1
sweater	2.6432896362266	3.48058824337413	0	1	0	1
sweep	2.6432896362266	3.48058824337413	0	1	0	1
swim	2.93689773072675	1.0765791461508	0	1	0	1
table	2.91623913901112	0.185966206806312	0	1	0	1
take	3.17837962031573	-0.495527650496447	0	1	0	1
talk	2.72033346445053	-0.325933823340648	0	1	0	1
tape	1.64306966712051	1.33989648145208	0	1	0	1
taste	2.35923080165098	0.548901549159445	0	1	0	1
teacher	2.4362461054273	1.74838004145204	0	1	0	1
tear	2.6432896362266	3.48058824337413	0	1	0	1
telephone	2.94352948456985	1.07603773710098	0	1	0	1
that	2.67074709739687	-1.00583093669634	0	1	0	1
their	2.74344418218774	-1.0033563859152	0	1	0	1
them	3.04819462164046	-0.495121024331693	0	1	0	1
there	2.49092891344163	-0.154198701902422	0	1	0	1
these	3.42048091153006	-0.158473325147637	0	1	0	1
they	2.64060839884606	-1.19085448129451	0	1	0	1
think	1.950375694712	-0.496368217129963	0	1	0	1
thirsty	2.51530495797151	1.36830410330135	0	1	0	1
this	2.74905062298099	-0.662322792316724	0	1	0	1
those	2.69794467161755	0.361251377860943	0	1	0	1
throw	3.41684660273026	0.183886647086981	0	1	0	1
